               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.029222,            0.014737,           0.0080917,             0.49561,             0.57468,             0.56193,              0.2688,            0.034335,           0.0065503,            0.021643,           0.0098713,           0.0098713,           0.0098713
                  54,            0.030221,            0.014734,           0.0073807,             0.67523,             0.68597,             0.64775,             0.32519,             0.03007,           0.0057526,             0.03146,           0.0098688,           0.0098688,           0.0098688
                  55,            0.028922,            0.014614,           0.0067034,             0.54025,             0.61276,              0.5452,             0.25827,            0.029453,           0.0065744,            0.019217,           0.0098664,           0.0098664,           0.0098664
                  56,            0.028563,            0.014114,           0.0079411,             0.51153,             0.63375,             0.58096,             0.30027,            0.032514,           0.0063028,            0.059727,           0.0098639,           0.0098639,           0.0098639
                  57,            0.028101,            0.014613,           0.0073478,             0.56333,             0.74973,             0.66541,             0.31918,            0.033994,           0.0062253,            0.022717,           0.0098614,           0.0098614,           0.0098614
                  58,            0.028792,            0.014665,           0.0082701,              0.5397,             0.48834,               0.543,             0.26612,            0.036514,           0.0060833,             0.03441,           0.0098589,           0.0098589,           0.0098589
                  59,            0.029073,            0.014111,           0.0073935,             0.56635,             0.62059,             0.62672,             0.30603,            0.035241,           0.0063527,             0.01771,           0.0098565,           0.0098565,           0.0098565
                  60,            0.028044,            0.014381,           0.0068828,             0.53597,              0.6343,             0.59244,             0.28701,            0.032075,           0.0072424,              0.0155,            0.009854,            0.009854,            0.009854
                  61,            0.028575,            0.014123,           0.0066711,             0.66734,             0.65536,             0.68527,             0.35243,            0.030029,            0.006453,            0.024353,           0.0098515,           0.0098515,           0.0098515
                  62,            0.028006,            0.014411,           0.0073411,             0.67326,             0.68577,             0.71569,             0.38468,            0.031447,           0.0056131,             0.01786,            0.009849,            0.009849,            0.009849
                  63,            0.027799,            0.013796,           0.0065177,             0.62071,             0.66558,             0.62571,             0.29064,            0.035391,            0.006161,            0.013855,           0.0098466,           0.0098466,           0.0098466
                  64,            0.028415,            0.013706,           0.0068587,             0.71589,             0.70328,             0.70816,             0.34275,            0.035313,           0.0064323,            0.010723,           0.0098441,           0.0098441,           0.0098441
